model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std
Decision Tree,0.7343651009141098,0.0036052727193800686,0.7215213881225709,0.005741095673335581,0.7776475430838743,0.014683324833722514,0.7484179403369607,0.0052368782584078155,0.8109804554025087,0.004784039132053151
Random Forest,0.7473255498235134,0.0025881530711145003,0.7304179992969224,0.001977472699568322,0.7969866403837909,0.005794066831147734,0.7622416588852767,0.003024638782718651,0.8228853834795871,0.0034998515872428936
Logistic Regression,0.7447008779075028,0.004086781129633112,0.7382996607755369,0.003850817268746717,0.7709512384156195,0.006387693439389429,0.7542608588539519,0.004281138345228729,0.8199900712756911,0.0035479979204240853
K-Nearest Neighbors,0.7356683862793013,0.003701946930880572,0.7185655870187186,0.0030635572317973306,0.7888662211769959,0.006391027811535854,0.7520666409793364,0.003938537813274959,0.8082734650903405,0.00440670653664791
